text,id
"Correlates between Models of Virulence for Mycobacterium tuberculosis among Isolates of the Central Asian Lineage: a Case for Lysozyme Resistance Testing . Virulence factors (VFs) contribute to the emergence of new human Mycobacterium tuberculosis strains, are lineage dependent, and are relevant to the development of Mycobacterium tuberculosis drugs/vaccines. VFs were sought within Mycobacterium tuberculosis lineage 3, which has the Central Asian (CAS) spoligotype. Three isolates were selected from clusters previously identified as dominant in London, United Kingdom. Strain-associated virulence was studied in guinea pig, monocyte-derived macrophage, and lysozyme resistance assays. Whole-genome sequencing, single nucleotide polymorphism (SNP) analysis, and a literature review contributed to the identification of SNPs of interest. The animal model revealed borderline differences in strain-associated pathogenicity. Ex vivo, isolate C72 exhibited statistically significant differences in intracellular growth relative to C6 and C14. SNP candidates inducing lower fitness levels included 123 unique nonsynonymous SNPs, including three located in genes (lysX, caeA, and ponA2) previously identified as VFs in the laboratory-adapted reference strain H37Rv and shown to confer lysozyme resistance. C72 growth was most affected by lysozyme in vitro. A BLAST search revealed that all three SNPs of interest (C35F, P76Q, and P780R) also occurred in Tiruvallur, India, and in Uganda. Unlike C72, however, no single isolate identified through BLAST carried all three SNPs simultaneously. CAS isolates representative of three medium-sized human clusters demonstrated differential outcomes in models commonly used to estimate strain-associated virulence, supporting the idea that virulence varies within, not just across, Mycobacterium tuberculosis lineages. Three VF SNPs of interest were identified in two additional locations worldwide, which suggested independent selection and supported a role for these SNPs in virulence. The relevance of lysozyme resistance to strain virulence remains to be established.",11
"Contrasting effects of shade level and altitude on two important coffee pests . The diversity and abundance of natural enemies of insect pests is often higher in agroforestry plantations than in sun-exposed monocultures, and it is often assumed that this will lead to improved pest suppression. The effect that incorporating trees in cropping systems will have on pest populations, however, also depends on the habitat requirements of the pests themselves. In Eastern Uganda, we studied how shade level (full > 50 trees per acre, moderate 21-50 trees per acre, and low 0-20 trees per acre) and altitude (high 1,717-1,840 m.a.s.l. and low 1,511-1,605 m.a.s.l.) influenced the abundance of the white stem borer Monochamus leuconotus and the coffee berry borer Hypothenemus hampei. We found that the effect of shade trees differed between the two pest species. The coffee berry borer was more common on sun-exposed plantations, whereas the white stem borer was more common in shaded plantations. Furthermore, the effect of shade level on the white stem borer depended on altitude, with the differences between shade levels being most pronounced in plantations at low altitudes. This implies that the impact of agroforestry on pest regulation both under current conditions and in a global warming scenario will be highly context dependent; it will depend on the identity of the most important pests in the area, and on environmental factors such as altitude.",12
"Development of genome-wide microsatellite genetic resources in a commercially important African freshwater fish species - the Nile perch, Lates niloticus . NA",13
"Trading or coercion? Variation in male mating strategies between two communities of East African chimpanzees . Across taxa, males employ a variety of mating strategies, including sexual coercion and the provision, or trading, of resources. Biological market theory (BMT) predicts that trading of commodities for mating opportunities should exist only when males cannot monopolize access to females and/or obtain mating by force, in situations where power differentials between males are low; both coercion and trading have been reported for chimpanzees (Pan troglodytes). Here, we investigate whether the choice of strategy depends on the variation in male power differentials, using data from two wild communities of East African chimpanzees (Pan troglodytes schweinfurthii): the structurally despotic Sonso community (Budongo, Uganda) and the structurally egalitarian M-group (Mahale, Tanzania). We found evidence of sexual coercion by male Sonso chimpanzees, and of trading-of grooming for mating-by M-group males; females traded sex for neither meat nor protection from male aggression. Our results suggest that the despotism-egalitarian axis influences strategy choice: male chimpanzees appear to pursue sexual coercion when power differentials are large and trading when power differentials are small and coercion consequently ineffective. Our findings demonstrate that trading and coercive strategies are not restricted to particular chimpanzee subspecies; instead, their occurrence is consistent with BMT predictions. Our study raises interesting, and as yet unanswered, questions regarding female chimpanzees' willingness to trade sex for grooming, if doing so represents a compromise to their fundamentally promiscuous mating strategy. It highlights the importance of within-species cross-group comparisons and the need for further study of the relationship between mating strategy and dominance steepness.",14
"Novel sequence types of non-O157 Shiga toxin-producing Escherichia coli isolated from cattle . The objective of this study was to assess the genetic diversity of non-O157 Shiga toxin-producing Escherichia coli (STEC) isolates from cattle. Multi-locus sequence typing (MLST) was used to identify and compare the sequence types (STs) of 43 non-O157 STEC cattle isolates using the EcMLST database curated by the STEC Center at Michigan State University. For the 43 isolates, 19 STs were identified and 10 of those STs were novel compared to those in EcMLST. For the 43 isolates, 19 different serotypes were identified. STEC O22:H8, O174:H28 and O8:H19 were most common, and STEC O8 isolates were the most diverse, with seven different STs for isolates with that O group. STEC strains with O types identified in this study have been isolated from cattle by other researchers, as well as from cases of human gastroenteritis. Of the 10 novel STs identified, six were found to be closely related to previously identified STs, indicating that populations of non-O157 STEC in cattle are similar to those from other sources, including human clinical cases. Significance and Impact of the StudyThe foodborne pathogen Shiga toxin-producing Escherichia coli (STEC) is a significant public health concern. One of the main reservoirs for STEC are cattle, which can directly or indirectly contribute to STEC in the food supply. The genetic subtype data presented here highlight the diversity of STEC that can be isolated from cattle. These results further our understanding of the ecology of STEC in the primary production environment, which is important for developing effective control measures to reduce this pathogen in the food supply.",15
"Synergistic interactions of begomoviruses with Sweet potato chlorotic stunt virus (genus Crinivirus) in sweet potato (Ipomoea batatasL . Three hundred and ninety-four sweet potato accessions from Latin America and East Africa were screened by polymerase chain reaction (PCR) for the presence of begomoviruses, and 46 were found to be positive. All were symptomless in sweet potato and generated leaf curling and/or chlorosis in Ipomoea setosa. The five most divergent isolates, based on complete genome sequences, were used to study interactions with Sweet potato chlorotic stunt virus (SPCSV), known to cause synergistic diseases with other viruses. Co-infections led to increased titres of begomoviruses and decreased titres of SPCSV in all cases, although the extent of the changes varied notably between begomovirus isolates. Symptoms of leaf curling only developed temporarily in combination with isolate StV1 and coincided with the presence of the highest begomovirus concentrations in the plant. Small interfering RNA (siRNA) sequence analysis revealed that co-infection of SPCSV with isolate StV1 led to relatively increased siRNA targeting of the central part of the SPCSV genome and a reduction in targeting of the genomic ends, but no changes to the targeting of StV1 relative to single infection of either virus. These changes were not observed in the interaction between SPCSV and the RNA virus Sweet potato feathery mottle virus (genus Potyvirus), implying specific effects of begomoviruses on RNA silencing of SPCSV in dually infected plants. Infection in RNase3-expressing transgenic plants showed that this protein was sufficient to mediate this synergistic interaction with DNA viruses, similar to RNA viruses, but exposed distinct effects on RNA silencing when RNase3 was expressed from its native virus, or constitutively from a transgene, despite a similar pathogenic outcome.",16
"Examining the impact of shade on above-ground biomass and normalized difference vegetation index of C-3 and C-4 grass species in North-Western NSW, Australia . Previous investigations have detected a directional trend in the normalized difference vegetation index (NDVI) of pastures around scattered paddock trees and identified shade from the tree as the most likely causal factor. This study uses a field experiment to quantify the effect of varying levels of shade on the above-ground biomass and NDVI of three grass species native to Australia (Microlaena stipoides, C-3, shade tolerant; Austrodanthonia richardsonii, C-3, prefers full sunlight, and Chloris ventricosa, C-4, prefers full sunlight) in different seasons. The study demonstrates that shade had little influence on the above-ground biomass of C-3 species but significantly reduced biomass in the C-4 species. Until early winter, the NDVI of each species was generally significantly higher in all shaded treatments than in the no-shade treatment. This suggests that shaded plants retained a higher proportion of green biomass and/or changed leaf shape, increased leaf area and chlorophyll content. Regardless, although not proven in this experiment, it is likely shade prolonged the retention of green plant material into mid to late winter. Overall, this experiment explains the directional trends in NDVI around scattered trees found in previous work and suggests that shade from scattered trees prolongs green pasture production in a range of native grass species, without loss of C-3 pasture biomass.",17
"Mid-infrared spectroscopy for discrimination and classification of Aspergillus spp. contamination in peanuts . In this study, Aspergillus spp., common colonists in peanut, were characterized, classified and quantified using FTIR coupled with ATR accessory. FTIR-ATR spectral data of infected peanut samples were preprocessed (mean-centering, smoothing the 1st derivative), and used for the PLS regression analysis for quantitative results. Very high R-2 values (96.20-99.98%) together with low error of RMSEC values (0.014-0.153 Log CFU/g of peanut) were obtained. Even, the spectrum of peanut matrix was dominant at early stages of invasion (4 Log CFU/g, species level separation (Aspergillus alliaceus, Aspergillus caelatus, Aspergillus flavus, Aspergillus parasiticus, and Aspergillus tamari) was observed. The accuracy of correct classification increased proportionally with fungal invasion level and 100% correct classification was reached when the cell level was Log CFU/g = 4.5-5. Samples with similar secondary metabolites (toxin producers) grouped close-by in PC score diagrams for all levels of fungal growth. Results highlight the possible implementation of FTIR-ATR model to detect infected peanuts even at early stages of invasion; besides, to prove the potential separation capability in terms of species and their secondary metabolites. (C) 2014 Elsevier Ltd. All rights reserved.",18
"A Clinical Predictor Score for 30-Day Mortality among HIV-Infected Adults Hospitalized with Pneumonia in Uganda . Background Pneumonia is a major cause of mortality among HIV-infected patients. Pneumonia severity scores are promising tools to assist clinicians in predicting patients' 30-day mortality, but existing scores were developed in populations infected with neither HIV nor tuberculosis ( TB) and include laboratory data that may not be available in resource-limited settings. The objective of this study was to develop a score to predict mortality in HIV-infected adults with pneumonia in TB-endemic, resource-limited settings. Methods We conducted a secondary analysis of data from a prospective study enrolling HIV-infected adults with cough >= 2 weeks and 120 beats/minute, respiratory rate >30 breaths/minute, oxygen saturation <90%, and CD4 cell count <50 cells/mm(3). Patients' 30-day mortality, stratified by score, was: score 0 or 1, 12.6%, score 2 or 3, 23.4%, score 4, 53.9%. For each 1 point change in clinical predictor score, the odds of 30-day mortality increased by 65%(OR 1.65, 95% CI 1.39-1.96, p <0.001). Conclusions A simple, four-point scoring system can stratify patients by levels of risk for mortality. Rapid identification of higher risk patients combined with provision of timely and appropriate treatment may improve clinical outcomes. This predictor score should be validated in other resource-limited settings.",19
"Morphological, Thermal, and Mechanical Characterization of Sansevieria trifasciata Fibers . Sansevieria trifasciata is a common perennial plant which freely grows and widely found in homes, parks, and woodlands. In this research, we studied the morphology using Scanning Electron Microscope and Fourier Transform Infrared (FTIR); thermal properties using Thermogravimetric (TGA) and Differential Scanning Calorimetric (DSC) analyses; mechanical behavior through tensile tests of Sansevieria trifasciata fiber (STF) obtained from Butaleja in Eastern Uganda. Findings show that the fiber has an irregular cross-sectional shape with lumens in the center, the fiber diameter was between 80 and 120 mu m. TGA tests showed that the fiber is stable below 200 degrees C with maximum cellulose decomposition temperature of 315 degrees C. DSC showed that the fiber's crystallization temperature was 310.5 degrees C and lignin decomposition temperature of 372.7 degrees C. The surface functional groups were majorly of cellulose, hemicelluloses, and lignin in direct correlation with research elsewhere on natural fibers.",20
"Impact of Anti-Retroviral Treatment and Cotrimoxazole Prophylaxis on Helminth Infections in HIV-Infected Patients in Lambarene, Gabon . Background Foci of the HIV epidemic and helminthic infections largely overlap geographically. Treatment options for helminth infections are limited, and there is a paucity of drug-development research in this area. Limited evidence suggests that antiretroviral therapy (ART) reduces prevalence of helminth infections in HIV-infected individuals. We investigated whether ART exposure and cotrimoxazole preventive therapy (CTX-P) is associated with a reduced prevalence of helminth infections. Methodology and Principal Findings This cross-sectional study was conducted at a primary HIV-clinic in Lambarene, Gabon. HIV-infected adults who were ART-naive or exposed to ART for at least 3 months submitted one blood sample and stool and urine samples on 3 consecutive days. Outcome was helminth infection with intestinal helminths, Schistosoma haematobium, Loa loa or Mansonella perstans. Multivariable logistic regression was used to assess associations between ART or CTX-P and helminth infection. In total, 408 patients were enrolled. Helminth infection was common (77/252 [30.5%]). Filarial infections were most prevalent (55/310 [17.7%]), followed by infection with intestinal helminths (35/296 [11.8%]) and S. haematobium (19/323 5.9%]). Patients on CTX-P had a reduced risk of Loa loa microfilaremia (adjusted odds ratio (aOR) 0.47, 95% CI 0.23-0.97, P = 0.04), also in the subgroup of patients on ART (aOR 0.36, 95% CI 0.13-0.96, P = 0.04). There was no effect of ART exposure on helminth infection prevalence. Conclusions/Significance CTX-P use was associated with a decreased risk of Loa loa infection, suggesting an anthelminthic effect of antifolate drugs. No relation between ART use and helminth infections was established.",21
"FCRL5 Delineates Functionally Impaired Memory B Cells Associated with Plasmodium falciparum Exposure . ""Exposure to Plasmodium falciparum is associated with circulating """"atypical"""" memory B cells (atMBCs), which appear similar to dysfunctional B cells found in HIV-infected individuals. Functional analysis of atMBCs has been limited, with one report suggesting these cells are not dysfunctional but produce protective antibodies. To better understand the function of malaria-associated atMBCs, we performed global transcriptome analysis of these cells, obtained from individuals living in an area of high malaria endemicity in Uganda. Comparison of gene expression data suggested down-modulation of B cell receptor signaling and apoptosis in atMBCs compared to classical MBCs. Additionally, in contrast to previous reports, we found upregulation of Fc receptor-like 5 (FCRL5), but not FCRL4, on atMBCs. Atypical MBCs were poor spontaneous producers of antibody ex vivo, and higher surface expression of FCRL5 defined a distinct subset of atMBCs compromised in its ability to produce antibody upon stimulation. Moreover, higher levels of P. falciparum exposure were associated with increased frequencies of FCRL5(+) atMBCs. Together, our findings suggest that FCLR5(+) identifies a functionally distinct, and perhaps dysfunctional, subset of MBCs in individuals exposed to P. falciparum.""",22
"The Lake Victoria island intervention study on worms and allergy-related diseases (LaVIISWA): study protocol for a randomised controlled trial . Background: The Hygiene Hypothesis proposes that infection exposure protects against inflammatory conditions. Helminths possess allergen-like molecules and may specifically modulate allergy-related immunological pathways to inhibit responses which protect against them. Mass drug administration is recommended for helminth-endemic communities to control helminth-induced pathology, but may also result in increased rates of inflammation-mediated diseases in resource-poor settings. Immunological studies integrated with implementation of helminth control measures may elucidate how helminth elimination contributes to ongoing epidemics of inflammatory diseases. We present the design of the Lake Victoria Island Intervention Study on Worms and Allergy-related diseases (LaVIISWA), a cluster-randomised trial evaluating the risks and benefits of intensive versus standard anthelminthic treatment for allergy-related diseases and other health outcomes. Methods/Design: The setting is comprised of island fishing communities in Mukono district, Uganda. Twenty-six communities have been randomised in a 1:1 ratio to receive standard or intensive anthelminthic intervention for a three-year period. Baseline characteristics were collected immediately prior to intervention rollout, commenced in February 2013. Primary outcomes are reported wheeze in the past 12 months and atopy (skin prick test response and allergen-specific immunoglobulin (asIg) E concentration). Secondary outcomes are visible flexural dermatitis, helminth infections, haemoglobin, growth parameters, hepatosplenomegaly, and responses to vaccine antigens. The trial provides a platform for in-depth analysis of clinical and immunological consequences of the contrasting interventions. Discussion: The baseline survey has been completed successfully in a challenging environment. Baseline characteristics were balanced between trial arms. Prevalence of Schistosoma mansoni, hookworm, Strongyloides stercoralis and Trichuris trichiura was 52%, 23%, 13%, and 12%, respectively; 31% of Schistosoma mansoni infections were heavy (>400 eggs/gram). The prevalence of reported wheeze and positive skin prick test to any allergen was 5% and 20%, respectively. Respectively, 77% and 87% of participants had Dermatophagoides-and German cockroach-specific IgE above 0.35 kUA/L. These characteristics suggest that the LaVIISWA study will provide an excellent framework for investigating beneficial and detrimental effects of worms and their treatment, and the mechanisms of such effects.",23
"Trends in prevalence of selected opportunistic infections associated with HIV/AIDS in Uganda . Background: After more than a decade of establishing and expanding access to highly active antiretroviral therapy (HAART), empirical evidence on its impact on trends of opportunistic infections (OIs) associated with the deadly human immunodeficiency virus (HIV) in resource poor settings is scarce. The primary objective of this study was to assess the effect of HAART coverage on trends of five most common OIs in Uganda. Methods: Observational data from January 2002 to December 2013 for 5972 HIV positive individuals attending the AIDS Support Organisation (TASO) HIV/AIDS care programme in Uganda were extracted and analysed. Trends were analysed using autoregressive moving average time series and mixed effects linear regression models adjusting for all available potential confounders. Results: A total of 204,871 monthly medical reports were retrieved and analysed. Majority of the participants were female (73%) with a median age of 32 years (inter-quartile range 26-39). Overall, significant decreasing mean annual prevalence trends were observed for Mycobacterium tuberculosis, herpes zoster, genital ulcer and oral candidiasis (p < 0.05, X-trend(2)). Non-significant declining mean annual prevalence trend was observed for cryptococcal meningitis (p = 0.181, X-trend(2)). The largest impact of HAART was observed in Oral candidiasis and TB whose average annual prevalence reduced by 61% and 43% respectively following the introduction of HAART. Monthly series for TB, Herpes zoster and genital ulcers differed significantly by age and clinic but only genital ulcer series differed significantly by sex (p < 0.05, kruskal wallis). After controlling for the effects of age, sex and clinic (fixed) and monthly clustering (random effect) in a mixed effects linear regression model, all the five OIs showed a significant monthly change in prevalence (p < 0.001). Conclusion: Overall, prevalence of most OIs declined especially after the introduction of HAART. However significant variations exist in the trends of different OIs in different geographical areas in Uganda. It is therefore important that site specific factors are properly identified to enable the development of targeted interventions.",24
